filename,width,height,class,xmin,ymin,xmax,ymax
DaunJarak (1).jpg,4032,3024,Daun Jarak,1318,734,2954,2182
DaunJarak (10).jpg,1023,777,Daun Jarak,500,94,897,453
DaunJarak (10).jpg,1023,777,Daun Jarak,429,490,659,725
DaunJarak (100).jpg,3024,4032,Daun Jarak,98,423,2846,3139
DaunJarak (101).jpg,4032,3024,Daun Jarak,910,86,3618,2826
DaunJarak (102).jpg,4032,3024,Daun Jarak,870,190,3506,2738
DaunJarak (103).jpg,3024,4032,Daun Jarak,362,902,2877,3560
DaunJarak (104).jpg,3024,4032,Daun Jarak,525,802,2825,3350
DaunJarak (105).jpg,3024,4032,Daun Jarak,488,823,2814,3444
DaunJarak (106).jpg,3024,4032,Daun Jarak,319,950,2909,3792
DaunJarak (107).jpg,3024,4032,Daun Jarak,446,908,2898,3460
DaunJarak (108).jpg,4032,3024,Daun Jarak,1010,258,3246,2506
DaunJarak (109).jpg,4032,3024,Daun Jarak,1206,314,3246,2362
DaunJarak (11).jpg,650,400,Daun Jarak,123,182,376,393
DaunJarak (11).jpg,650,400,Daun Jarak,39,2,380,233
DaunJarak (11).jpg,650,400,Daun Jarak,339,241,616,400
DaunJarak (110).jpg,3024,4032,Daun Jarak,151,871,2614,3202
DaunJarak (111).jpg,4032,3024,Daun Jarak,1222,554,3518,2738
DaunJarak (112).jpg,4032,3024,Daun Jarak,1054,718,3298,2798
DaunJarak (113).jpg,3024,4032,Daun Jarak,177,297,2856,3229
DaunJarak (114).jpg,4032,3024,Daun Jarak,518,246,3226,2746
DaunJarak (115).jpg,3024,4032,Daun Jarak,119,523,2919,3571
DaunJarak (116).jpg,4032,3024,Daun Jarak,486,114,3502,2878
DaunJarak (117).jpg,3024,4032,Daun Jarak,162,476,2909,3492
DaunJarak (118).jpg,4032,3024,Daun Jarak,514,118,3546,2906
DaunJarak (119).jpg,4032,3024,Daun Jarak,662,34,3642,2766
DaunJarak (12).jpg,1000,1000,Daun Jarak,102,162,947,853
DaunJarak (120).jpg,3024,4032,Daun Jarak,14,418,3024,3650
DaunJarak (121).jpg,4032,3024,Daun Jarak,570,222,3302,2762
DaunJarak (122).jpg,4032,3024,Daun Jarak,806,22,3714,2882
DaunJarak (123).jpg,4032,3024,Daun Jarak,306,138,3231,3024
DaunJarak (124).jpg,4032,3024,Daun Jarak,1038,170,3230,2474
DaunJarak (125).jpg,4032,3024,Daun Jarak,846,250,3246,2682
DaunJarak (126).jpg,4032,3024,Daun Jarak,958,190,3550,2730
DaunJarak (127).jpg,4032,3024,Daun Jarak,542,122,3534,2962
DaunJarak (128).jpg,4032,3024,Daun Jarak,434,2,3606,2958
DaunJarak (129).jpg,3024,4032,Daun Jarak,141,587,2893,3534
DaunJarak (13).jpg,640,480,Daun Jarak,272,143,570,428
DaunJarak (13).jpg,640,480,Daun Jarak,60,91,260,330
DaunJarak (130).jpg,3024,4032,Daun Jarak,193,623,2977,3450
DaunJarak (131).jpg,3024,4032,Daun Jarak,41,566,2804,3413
DaunJarak (132).jpg,4032,3024,Daun Jarak,1162,474,3498,2954
DaunJarak (133).jpg,4032,3024,Daun Jarak,158,618,1962,2358
DaunJarak (133).jpg,4032,3024,Daun Jarak,2122,574,3886,2434
DaunJarak (134).jpg,3024,4032,Daun Jarak,525,1087,2593,3313
DaunJarak (135).jpg,3024,4032,Daun Jarak,225,697,2825,3502
DaunJarak (136).jpg,3024,4032,Daun Jarak,504,913,2909,3281
DaunJarak (137).jpg,4032,3024,Daun Jarak,150,602,1922,2470
DaunJarak (137).jpg,4032,3024,Daun Jarak,2114,658,3866,2334
DaunJarak (138).jpg,4032,3024,Daun Jarak,122,666,1934,2438
DaunJarak (138).jpg,4032,3024,Daun Jarak,2102,530,3926,2478
DaunJarak (139).jpg,4032,3024,Daun Jarak,2082,690,3670,2402
DaunJarak (139).jpg,4032,3024,Daun Jarak,318,806,1902,2318
DaunJarak (14).jpg,800,600,Daun Jarak,302,220,477,356
DaunJarak (14).jpg,800,600,Daun Jarak,384,334,553,505
DaunJarak (14).jpg,800,600,Daun Jarak,470,93,641,250
DaunJarak (14).jpg,800,600,Daun Jarak,532,200,673,349
DaunJarak (14).jpg,800,600,Daun Jarak,128,96,281,209
DaunJarak (14).jpg,800,600,Daun Jarak,504,433,635,570
DaunJarak (140).jpg,4032,3024,Daun Jarak,150,918,1722,2454
DaunJarak (140).jpg,4032,3024,Daun Jarak,2106,782,3650,2418
DaunJarak (141).jpg,4032,3024,Daun Jarak,226,882,1806,2426
DaunJarak (141).jpg,4032,3024,Daun Jarak,2194,826,3682,2426
DaunJarak (142).jpg,3024,4032,Daun Jarak,283,1071,2751,3902
DaunJarak (143).jpg,4032,3024,Daun Jarak,98,230,2938,2746
DaunJarak (144).jpg,3024,4032,Daun Jarak,277,108,2788,2950
DaunJarak (145).jpg,4032,3024,Daun Jarak,1082,270,3926,2774
DaunJarak (146).jpg,3024,4032,Daun Jarak,219,1176,2856,3918
DaunJarak (147).jpg,3024,4032,Daun Jarak,172,150,2825,2844
DaunJarak (148).jpg,4032,3024,Daun Jarak,202,498,2138,2266
DaunJarak (148).jpg,4032,3024,Daun Jarak,2178,298,3998,2246
DaunJarak (149).jpg,4032,3024,Daun Jarak,174,758,1954,2454
DaunJarak (149).jpg,4032,3024,Daun Jarak,2098,462,3954,2374
DaunJarak (15).jpg,525,330,Daun Jarak,205,11,346,194
DaunJarak (150).jpg,4032,3024,Daun Jarak,350,842,1974,2426
DaunJarak (150).jpg,4032,3024,Daun Jarak,2146,622,3858,2390
DaunJarak (151).jpg,4032,3024,Daun Jarak,294,302,3078,2850
DaunJarak (152).jpg,4032,3024,Daun Jarak,942,162,3742,2718
DaunJarak (153).jpg,4032,3024,Daun Jarak,1150,282,3574,2718
DaunJarak (154).jpg,3024,4032,Daun Jarak,330,802,2714,3402
DaunJarak (155).jpg,4032,3024,Daun Jarak,198,1086,1738,2666
DaunJarak (155).jpg,4032,3024,Daun Jarak,2050,854,3622,2470
DaunJarak (156).jpg,4032,3024,Daun Jarak,242,1046,1810,2598
DaunJarak (156).jpg,4032,3024,Daun Jarak,2126,822,3722,2446
DaunJarak (157).jpg,3024,4032,Daun Jarak,146,487,2562,3366
DaunJarak (158).jpg,3024,4032,Daun Jarak,419,671,2883,3576
DaunJarak (159).jpg,4032,3024,Daun Jarak,454,402,3370,2886
DaunJarak (16).jpg,720,540,Daun Jarak,269,172,652,503
DaunJarak (160).jpg,4032,3024,Daun Jarak,378,542,2194,2618
DaunJarak (160).jpg,4032,3024,Daun Jarak,2242,686,3862,2270
DaunJarak (161).jpg,4032,3024,Daun Jarak,1478,582,3710,2926
DaunJarak (161).jpg,4032,3024,Daun Jarak,18,886,1526,2238
DaunJarak (162).jpg,3024,4032,Daun Jarak,204,1650,2441,3750
DaunJarak (162).jpg,3024,4032,Daun Jarak,867,155,2177,1666
DaunJarak (163).jpg,3024,4032,Daun Jarak,241,1244,2809,3897
DaunJarak (164).jpg,3024,4032,Daun Jarak,662,1387,2783,3687
DaunJarak (165).jpg,3024,4032,Daun Jarak,151,1239,2656,3787
DaunJarak (166).jpg,3024,4032,Daun Jarak,41,913,2793,3676
DaunJarak (167).jpg,3024,4032,Daun Jarak,146,1223,2751,3876
DaunJarak (168).jpg,4032,3024,Daun Jarak,874,158,3874,3006
DaunJarak (169).jpg,3024,4032,Daun Jarak,19,1113,2914,3887
DaunJarak (17).jpg,760,455,Daun Jarak,272,176,694,455
DaunJarak (170).jpg,3024,4032,Daun Jarak,9,923,2862,3987
DaunJarak (171).jpg,4032,3024,Daun Jarak,746,38,3834,2826
DaunJarak (172).jpg,4032,3024,Daun Jarak,934,230,3442,2526
DaunJarak (173).jpg,4032,3024,Daun Jarak,1030,218,3582,2518
DaunJarak (174).jpg,4032,3024,Daun Jarak,1138,342,3706,2526
DaunJarak (175).jpg,4032,3024,Daun Jarak,962,14,3570,2790
DaunJarak (176).jpg,4032,3024,Daun Jarak,714,370,3266,2686
DaunJarak (177).jpg,3024,4032,Daun Jarak,193,971,2835,3771
DaunJarak (178).jpg,4032,3024,Daun Jarak,1054,222,3662,2618
DaunJarak (179).jpg,4032,3024,Daun Jarak,1266,446,3430,2642
DaunJarak (18).jpg,800,584,Daun Jarak,319,18,705,390
DaunJarak (18).jpg,800,584,Daun Jarak,4,72,288,380
DaunJarak (18).jpg,800,584,Daun Jarak,88,235,538,480
DaunJarak (180).jpg,4032,3024,Daun Jarak,650,486,2818,2674
DaunJarak (181).jpg,3024,4032,Daun Jarak,351,1018,2777,3508
DaunJarak (182).jpg,4032,3024,Daun Jarak,886,278,3386,2662
DaunJarak (183).jpg,4032,3024,Daun Jarak,1078,342,3422,2734
DaunJarak (184).jpg,4032,3024,Daun Jarak,1082,302,3414,2638
DaunJarak (185).jpg,4032,3024,Daun Jarak,1010,118,3746,2710
DaunJarak (186).jpg,4032,3024,Daun Jarak,1306,158,3706,2526
DaunJarak (187).jpg,4032,3024,Daun Jarak,530,154,3382,2902
DaunJarak (188).jpg,4032,3024,Daun Jarak,394,390,3370,2850
DaunJarak (189).jpg,4032,3024,Daun Jarak,670,282,3494,2750
DaunJarak (19).jpg,750,500,Daun Jarak,147,235,340,442
DaunJarak (19).jpg,750,500,Daun Jarak,326,230,488,389
DaunJarak (19).jpg,750,500,Daun Jarak,463,246,624,442
DaunJarak (19).jpg,750,500,Daun Jarak,376,145,502,243
DaunJarak (19).jpg,750,500,Daun Jarak,245,61,390,199
DaunJarak (190).jpg,4032,3024,Daun Jarak,762,234,3558,2710
DaunJarak (191).jpg,3024,4032,Daun Jarak,109,381,2698,3166
DaunJarak (192).jpg,3024,4032,Daun Jarak,19,944,2846,3392
DaunJarak (193).jpg,3024,4032,Daun Jarak,351,739,2741,3397
DaunJarak (194).jpg,4032,3024,Daun Jarak,1290,22,3378,2366
DaunJarak (195).jpg,4032,3024,Daun Jarak,558,102,3502,2982
DaunJarak (196).jpg,3024,4032,Daun Jarak,272,1160,2851,3723
DaunJarak (197).jpg,4032,3024,Daun Jarak,1150,330,3410,2518
DaunJarak (198).jpg,3024,4032,Daun Jarak,225,1044,2914,3492
DaunJarak (199).jpg,4032,3024,Daun Jarak,1058,170,3346,2766
DaunJarak (2).jpg,4032,3024,Daun Jarak,1494,610,3326,2314
DaunJarak (20).jpg,400,210,Daun Jarak,220,1,378,182
DaunJarak (200).jpg,4032,3024,Daun Jarak,742,274,3358,2734
DaunJarak (201).jpg,4032,3024,Daun Jarak,650,346,3290,2826
DaunJarak (202).jpg,4032,3024,Daun Jarak,790,490,2958,2778
DaunJarak (203).jpg,4032,3024,Daun Jarak,1106,342,3282,2670
DaunJarak (204).jpg,3024,4032,Daun Jarak,204,613,2835,3687
DaunJarak (205).jpg,4032,3024,Daun Jarak,770,310,3606,2694
DaunJarak (206).jpg,4032,3024,Daun Jarak,586,222,3494,2830
